,Day of Week,Tenure Group,Email Domain,Age Group,Gender,Type,Subject Id
0,-0.1,3.5766728243874972,0.0,0.0,0.0,0.0,0.0
1,-0.1,1.2074449600000001,0.0,0.0,0.0,0.0,0.0
2,-0.1,2.2826400000000007,0.0,0.0,0.0,0.0,0.0
3,-0.1,3.3240000000000003,0.0,0.0,0.0,0.0,0.0
4,-0.1,-0.0364,-0.0987856,0.0,0.0,0.0,0.0
5,-0.1,3.1908000000000003,0.0,0.0,0.0,0.0,0.0
6,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.1,10.0848,0.0,0.0,0.0,0.0,0.0
9,2.6918560000000005,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,10.0848,0.0
11,0.0,0.0,0.0,3.0,0.0,0.0,0.0
12,0.0,0.0,5.7250073734272,0.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-0.18000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
17,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
18,-0.1,1.0708,0.0,0.0,0.0,0.0,0.0
19,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,0.0
21,-0.1,1.3001449523200002,0.0,0.0,0.0,0.0,0.0
22,-0.1,-0.1,-0.1,-0.1,0.0,0.0,0.0
23,-0.1,3.1559760000000003,0.0,0.0,0.0,0.0,0.0
24,-0.1,-0.1,0.21362400000000004,-0.1,0.0,0.0,0.0
25,-0.1,3.0,0.0,0.0,0.0,0.0,0.0
26,-0.1,-0.1,0.015191663237964793,0.0,0.0,0.0,0.0
27,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,-0.1,1.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-0.1,14.258592837405581,0.0,0.0,-0.1,0.0,0.0
31,1.8599999999999999,0.0,0.0,0.0,0.0,0.0,0.0
32,4.542122086005761,0.0,0.0,0.0,0.0,0.0,0.0
33,-0.1,0.0,0.0,0.0,0.0,2.90819591024896,0.0
34,-0.1,1.0,0.0,0.0,0.0,0.0,0.0
35,1.8,0.0,0.0,0.0,0.0,0.0,0.0
36,2.548,0.0,0.0,0.0,0.0,0.0,0.0
37,-0.1,-0.1,-0.1,-0.1,2.2550099813502094,0.0,0.0
38,-0.1,3.2555239986936577,0.0,0.0,0.0,0.0,0.0
39,-0.1,5.971791595451972,0.0,0.0,0.0,0.0,0.0
40,-0.047912976,-0.06840000000000002,-0.1,-0.04000000000000001,0.0,0.0,0.0
41,-0.1,3.18,0.0,0.0,0.0,0.0,0.0
42,-0.1,-0.1,-0.1,0.15384870137783196,0.0,0.0,0.0
43,-0.1,1.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,3.0,0.0,5.535760000000001,0.0
45,0.0,0.0,0.0,0.0,10.780000000000001,0.0,0.0
46,4.127892331025473,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,3.0,0.0,0.0,0.0,0.0,0.0
48,-0.1,5.4,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,4.607016,0.0,0.0,0.0,0.0,0.0,0.0
51,3.18,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
